ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
16570-20000216,76522,51755,1,THORNDALE CONSTRUCTION,THORNDALE CONSTRUCTION,11243  CHESAPEAKE PLAC   1ST,WESTCHESTER,IL,60154,,,,,1010,Limited Business License,,,16570,RENEW,,2000-06-16T00:00:00,2009-08-21T00:00:00,N,2000-02-16T00:00:00,2001-02-15T00:00:00,2003-12-22T00:00:00,2009-08-24T00:00:00,AAI,,,,,
18136-19960216,84172,51944,1,P & W CONSTRUCTION CO INC,P & W CONSTRUCTION CO INC,5410  NEWPORT DR  40,ROLLING MEADOWS,IL,60008,,,,,1010,Limited Business License,,,18136,ISSUE,,2000-06-20T00:00:00,,N,1996-02-16T00:00:00,1997-02-15T00:00:00,2003-12-22T00:00:00,2006-04-12T00:00:00,AAI,,,,,
25710-19960216,119268,52896,1,"PAT HAMILTON, INC",PAT HAMILTON CO.,17021 S MAGNOLIA DR  1ST,HAZEL CREST,IL,60429,,,,,1010,Limited Business License,,,25710,ISSUE,,2000-06-20T00:00:00,,N,1996-02-16T00:00:00,1997-02-15T00:00:00,2003-12-22T00:00:00,2006-04-12T00:00:00,AAI,,,,,
36408-19970216,168920,54389,1,STEVEN FELDMAN,STEVEN FELDMAN,450  SKOKIE BLVD  904,NORTHBROOK,IL,60062,,,,,1060,Auctioneer,,,36408,ISSUE,,2000-06-20T00:00:00,,N,1997-02-16T00:00:00,1998-02-15T00:00:00,2003-12-22T00:00:00,2006-04-12T00:00:00,AAI,,,,,
44261-19960216,205258,55668,1,J C THOMAS CO INC,"J.C.THOMAS CO.,INC.",261 N WEST AVE  1ST,ELMHURST,IL,60126,,,,,1010,Limited Business License,,,44261,ISSUE,,2000-06-20T00:00:00,,N,1996-02-16T00:00:00,1997-02-15T00:00:00,2003-12-22T00:00:00,2006-04-12T00:00:00,AAI,,,,,
44262-19960216,205263,55668,1,J C THOMAS CO INC,"J.C.THOMAS CO.,INC.",261 N WEST AVE  1ST,ELMHURST,IL,60126,,,,,1011,Home Repair,,,44262,ISSUE,,2000-06-20T00:00:00,,N,1996-02-16T00:00:00,1997-02-15T00:00:00,2003-12-22T00:00:00,2006-04-12T00:00:00,AAI,,,,,
59271-19970216,264943,58310,1,ANDRA TUBBS,TUBBS SCRAP IRON METAL,516 W 136 PL  1,RIVERDALE,IL,60827,,,,,1431,Junk Peddler,,,59271,ISSUE,,2000-06-20T00:00:00,,N,1997-02-16T00:00:00,1998-02-15T00:00:00,,2006-04-12T00:00:00,AAI,,,,,
63024-19990216,275807,19866,1,"SWISTUN, INC.",SWISTUN ALUMINUM INC,65 E PALATINE RD  117,PROSPECT HEIGHTS,IL,60070,,,,,1010,Limited Business License,,,63024,RENEW,,,2008-02-28T00:00:00,N,1999-02-16T00:00:00,2000-02-15T00:00:00,2003-12-22T00:00:00,2008-02-28T00:00:00,AAI,,,,,
67045-19990516,286129,59758,1,LAURENCE DUREKE,LA'VERA,12440 S ASHLAND AVE  1ST,CALUMET PARK,IL,60643,,,,,1315,Mobile Food Dispenser,,,67045,RENEW,,2003-12-22T00:00:00,,N,1999-05-16T00:00:00,2000-02-15T00:00:00,2001-03-23T00:00:00,2012-11-29T00:00:00,AAI,,,,,
79838-20000216,310105,48577,1,NAZI ORAHA,IMPERIAL CLEANING SERVICE,26  STACY CT  1ST,GLENVIEW,IL,60025,,,,,1010,Limited Business License,,,79838,RENEW,,2000-06-16T00:00:00,2010-05-14T00:00:00,N,2000-02-16T00:00:00,2001-02-15T00:00:00,2003-12-22T00:00:00,2010-05-17T00:00:00,AAI,,,,,
30465-20010216,1104543,31585,1,MELVIN ARMSTRONG,DMC REFRIGERATION HEATING & AC,17935  CHAPPEL AVE  MAIN,LANSING,IL,60438,,,,,1010,Limited Business License,,,30465,RENEW,2000-12-18T00:00:00,2000-12-19T00:00:00,2011-06-07T00:00:00,N,2001-02-16T00:00:00,2002-02-15T00:00:00,2003-12-22T00:00:00,2011-06-08T00:00:00,AAI,,,,,
55461-20010216,1112535,57558,1,STERLING ELEVATOR SERVICE CO,STRERLING ELEVATOR SERVICE CO,2510 E DEMPSTER   208,DES PLAINES,IL,60016,,,,,1010,Limited Business License,,,55461,RENEW,2000-12-18T00:00:00,2000-12-19T00:00:00,2001-05-18T00:00:00,N,2001-02-16T00:00:00,2002-02-15T00:00:00,2001-07-28T00:00:00,2008-06-19T00:00:00,AAI,,,,,
78446-20010216,1115264,67310,1,360NETWORKS (USA) INC.,360NETWORKS (USA) INC.,12202  AIRPORT WAY  300,BROOMFIELD,CO,80021,,,,,1010,Limited Business License,,,78446,RENEW,2000-12-18T00:00:00,2000-12-19T00:00:00,2008-04-22T00:00:00,N,2001-02-16T00:00:00,2002-02-15T00:00:00,2003-12-22T00:00:00,2007-07-30T00:00:00,AAI,,,,,
83699-20010216,1115778,68530,1,URGENT HEATING & COOLING CORP.,URGENT HEATING,560  CHESTER AVE  1ST,ELGIN,IL,60120,,,,,1010,Limited Business License,,,83699,RENEW,2000-12-18T00:00:00,2000-12-19T00:00:00,2001-01-31T00:00:00,N,2001-02-16T00:00:00,2002-02-15T00:00:00,2001-01-31T00:00:00,2008-06-16T00:00:00,AAI,,,,,
1121240-20130702,1121240,21818,3,PRECISION CONTRACTING SERVICES,PRESCISION CONTRACTING SERVICES,1011 E TOUHY AVE  210,DES PLAINES,IL,60018,,,,,1010,Limited Business License,,,1121240,C_LOC,2001-02-06T00:00:00,2001-02-06T00:00:00,2001-02-21T00:00:00,N,2013-07-02T00:00:00,2002-02-15T00:00:00,2003-01-03T00:00:00,2013-07-02T00:00:00,AAI,,,,,
1140501-20100511,1140501,213133,1,MICHAEL BRUCE VLASEK,MIKE VLASEK INC,7305 W 157TH ST 3RD 3B,ORLAND PARK,IL,60462,,,,,1010,Limited Business License,,,1140501,ISSUE,2001-04-12T00:00:00,2001-04-12T00:00:00,2001-04-12T00:00:00,N,2010-05-11T00:00:00,2005-02-15T00:00:00,2003-01-06T00:00:00,2010-05-11T00:00:00,AAI,,,,,
1140502-20100511,1140502,213133,1,MICHAEL BRUCE VLASEK,MIKE VLASEK INC,7305 W 157TH ST 3RD 3B,ORLAND PARK,IL,60462,,,,,1011,Home Repair,,,1140502,ISSUE,2001-04-12T00:00:00,2001-04-12T00:00:00,2001-04-12T00:00:00,N,2010-05-11T00:00:00,2002-02-15T00:00:00,2001-09-18T00:00:00,2010-05-11T00:00:00,AAI,,,,,
44918-20011116,1172795,465,2,MILLARD MAINTENANCE SERVICE CO,STANDARD WINDOW CLEANING CO,7301 N CICERO AVE  1ST,LINCOLNWOOD,IL,60646,,,,,1010,Limited Business License,,,44918,RENEW,,2001-10-03T00:00:00,2006-07-26T00:00:00,N,2001-11-16T00:00:00,2002-11-15T00:00:00,2003-12-22T00:00:00,2006-08-16T00:00:00,AAI,,,,,
55014-20020216,1201283,18088,3,AMERITECH COMMUNICATIONS INC,AMERITECH COMMUNICATIONS INC,9525 W BRYN MAWR AVE  600,ROSEMONT,IL,60018,,,,,1010,Limited Business License,,,55014,RENEW,,2001-12-20T00:00:00,2002-03-12T00:00:00,N,2002-02-16T00:00:00,2003-02-15T00:00:00,2002-04-30T00:00:00,2010-04-28T00:00:00,AAI,,,,,
69904-20020216,1202098,21298,2,ILLINOIS QUALITY BUILDERS,ILL QUALITY BUILDERS,600  LOCUST   1ST F,WILMETTE,IL,60091,,,,,1010,Limited Business License,,,69904,RENEW,,2001-12-20T00:00:00,2002-02-15T00:00:00,N,2002-02-16T00:00:00,2003-02-15T00:00:00,2002-02-15T00:00:00,2010-05-11T00:00:00,AAI,,,,,
37444-20020216,1205853,33414,1,"MAESTRO GENERAL CONTRACTOR, IN","MAESTRO GENERAL CONTRACTOR, IN",411  SPRINGHILL DR  HOME,ROSELLE,IL,60172,,,,,1011,Home Repair,,,37444,RENEW,,2001-12-20T00:00:00,2002-02-19T00:00:00,N,2002-02-16T00:00:00,2003-02-15T00:00:00,2003-06-11T00:00:00,2009-09-18T00:00:00,AAI,,,,,
17129-20020216,1215056,85715,2,FCI CONSTRUCTION INC,"FCI CONTRUCTION, INC.",735 N YALE   A,VILLA PARK,IL,60181,,,,,1010,Limited Business License,,,17129,RENEW,,2001-12-20T00:00:00,2002-01-22T00:00:00,N,2002-02-16T00:00:00,2003-02-15T00:00:00,2002-01-22T00:00:00,2006-06-07T00:00:00,AAI,,,,,
36311-20030216,1307168,5392,3,FUJITEC AMERICA INC,FUJITEC AMERICA INC,1225  GREENBRIAR DR  G,ADDISON,IL,60101,,,,,1010,Limited Business License,,,36311,RENEW,,2002-12-17T00:00:00,2003-01-08T00:00:00,N,2003-02-16T00:00:00,2004-02-15T00:00:00,2003-01-08T00:00:00,2008-12-18T00:00:00,AAI,,,,,
1170911-20030216,1307340,6402,3,ICC ENTERPRISES,ICC ENTERPRISES,601 W CAMPUS DR  B3,ARLINGTON HEIGHTS,IL,60004,,,,,1010,Limited Business License,,,1170911,RENEW,,2002-12-17T00:00:00,2003-03-12T00:00:00,N,2003-02-16T00:00:00,2004-02-15T00:00:00,2003-03-12T00:00:00,2006-07-25T00:00:00,AAI,,,,,
69793-20030216,1309805,21274,3,"UNIVANCE TELECOMMUNICATIONS,IN",UNIVANCE TELECOMMUNICATIONS IN,373  INVERNESS SOUTH DR  100,ENGLEWOOD,CO,80112,,,,,1010,Limited Business License,,,69793,RENEW,,2002-12-17T00:00:00,2003-03-17T00:00:00,N,2003-02-16T00:00:00,2004-02-15T00:00:00,2003-03-26T00:00:00,2010-05-11T00:00:00,AAI,,,,,
